No.,Name,ID,Type
1,Asia M.E 94,94,Group Call
2,Atlan. Canada,30205,Group Call
3,BM APRS UK,234999,Group Call
4,BM Scotland,2355,Group Call
5,Disconnect,4000,Private Call
6,Europe 92,92,Group Call
7,Extd Freedom Net,23525,Group Call
8,FIRE 901,901,Group Call
9,GB3HL Local,234143,Group Call
10,GB7EC Local,235419,Group Call
11,GB7PA local,234136,Group Call
12,GB7SS Local,235405,Group Call
13,GB7YC Local,234169,Group Call
14,Hubnet,23526,Group Call
15,IE calling 2722,2722,Group Call
16,Ireland 1,2721,Group Call
17,Ireland wide 272,272,Group Call
18,Kansas City,313136,Group Call
19,Local,9,Group Call
20,Local 1,1,Group Call
21,Local 99,99,Group Call
22,MM7IGV local,2357910,Group Call
23,Mothership TGIF,31665,Group Call
24,N America 93,93,Group Call
25,N Ireland 2354,2354,Group Call
26,PAPA SoCal,31077,Group Call
27,Parrot 9990,9990,Private Call
28,Raynet UK,23531,Group Call
29,Scot Chat 23550,23550,Group Call
30,Scot Multi 23551,23551,Group Call
31,Scot. East,23557,Group Call
32,Scot. North,23558,Group Call
33,Scot. West,23559,Group Call
34,UK Calling,235,Group Call
35,UK Multi DvP,23556,Group Call
36,UK Wide,2350,Group Call
37,Ulster 272,27253,Group Call
38,Worldwide 91,91,Group Call
