country_code,region,service_org,category,group_id,group_label,channel_id,name,label,rx_frequency_hz,tx_frequency_hz,mode,is_primary_mode,bandwidth_khz,rx_tone,tx_tone,colour_code,timeslot,talkgroup_id,encryption,status,confidence,source_type,source_url,source_title,source_date,source_url_2,notes
IE,,Irish Coast Guard,maritime,ie-marine-distress,Irish Coast Guard — distress and safety,ch-16,IRCG Ch16,Irish Coast Guard Channel 16 Distress Safety and Calling,156800000,156800000,fm,true,25,,,,,,none,active,high,official,https://www.gov.ie/en/department-of-transport/publications/maritime-radio-operating-procedures-for-small-craft/,Department of Transport: Maritime Radio Operating procedures for small craft,2023-03-07,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,Department of Transport states Channel 16 is 156.800 MHz. ITU-R Appendix 18 lists the same simplex pair. Irish Coast Guard stations maintain a watch on this channel per Marine Notice 61 of 2020. Analogue FM; no CTCSS documented. DSC Channel 70 is digital-only and is not recorded.
IE,,Irish Coast Guard,maritime,ie-marine-distress,Irish Coast Guard — distress and safety,ch-67,IRCG Ch67,Irish Coast Guard Channel 67 SAR coordination,156375000,156375000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,Marine Notice 61 of 2020 lists Channel 67 at Coast Guard stations and states it is also available when required but may not be actively monitored at all times. Frequency from ITU-R Appendix 18 simplex 156.375/156.375 MHz. No CTCSS documented.
IE,Lough Swilly and Lough Foyle,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-01,IRCG Ch01,Irish Coast Guard Channel 01,160650000,156050000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,Malin Head Coast Guard Radio local working channel for Lough Swilly and Lough Foyle (Marine Notice 61 of 2020). Duplex: coast transmit 160.650 MHz recorded as rx_frequency_hz; ship transmit 156.050 MHz in tx_frequency_hz. Frequency pair from ITU-R Appendix 18. This is an Irish Coast Guard assignment; Northern Ireland allocations are out of scope.
IE,,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-02,IRCG Ch02,Irish Coast Guard Channel 02,160700000,156100000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,"Working channel used by Cork, Donegal Bay and Wicklow Head Coast Guard Radio (Marine Notice 61 of 2020). Duplex: coast transmit 160.700 MHz; ship transmit 156.100 MHz."
IE,,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-03,IRCG Ch03,Irish Coast Guard Channel 03,160750000,156150000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,"Working channel used by Dublin, Glen Head, Clifden and Mine Head Coast Guard Radio (Marine Notice 61 of 2020). Duplex: coast transmit 160.750 MHz; ship transmit 156.150 MHz."
IE,,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-04,IRCG Ch04,Irish Coast Guard Channel 04,160800000,156200000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,"Working channel used by Galway, Carlingford and Mizen Head Coast Guard Radio (Marine Notice 61 of 2020). Duplex: coast transmit 160.800 MHz; ship transmit 156.200 MHz."
IE,,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-05,IRCG Ch05,Irish Coast Guard Channel 05,160850000,156250000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,"Working channel used by Malin Head, Bantry, Rosslare and Clew Bay Coast Guard Radio (Marine Notice 61 of 2020). Duplex: coast transmit 160.850 MHz; ship transmit 156.250 MHz."
IE,Lough Derg,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-61,IRCG Ch61,Irish Coast Guard Channel 61,160675000,156075000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,Working channel for Lough Derg Coast Guard Radio (Marine Notice 61 of 2020 lists VHF Channel 16 and 61). Duplex: coast transmit 160.675 MHz; ship transmit 156.075 MHz.
IE,,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-62,IRCG Ch62,Irish Coast Guard Channel 62,160725000,156125000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,Working channel used by Valentia Coast Guard Radio and Lough Ree Coast Guard Radio (Marine Notice 61 of 2020). Duplex: coast transmit 160.725 MHz; ship transmit 156.125 MHz.
IE,Belmullet,Irish Coast Guard,maritime,ie-ircg-working,Irish Coast Guard — VHF working channels,ch-63,IRCG Ch63,Irish Coast Guard Channel 63,160775000,156175000,fm,true,25,,,,,,none,active,high,official,https://assets.gov.ie/109132/48e95fd9-cd9a-4b13-bdca-597f3f8643e3.pdf,Marine Notice No. 61 of 2020: Changes to Irish Coast Guard VHF working channels,2020,https://www.itu.int/en/ITU-R/seminars/rrs/RRS-23-Africa/Presentations/ITU-R%20Regulatory%20Documents/1.Radio%20Regulations%20and%20Rules%20of%20Procedure/Radio%20Regulations%20Ed%202020_WRC-19/Radio%20Regulations%20Ed%202020-English/RR-2020-Vol%202_E.pdf,Working channel for Belmullet Coast Guard Radio (Marine Notice 61 of 2020). Duplex: coast transmit 160.775 MHz; ship transmit 156.175 MHz.
